Before erosion ID,Initial X,Initial Y,Initial Z,Norm Initial X,Norm Initial Y,Norm Initial Z,Initial connectivity,Before erosion ID.1,Erosion state,Encoded erosion state,Z location half,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 connectivity,2 Connectivity,4 Connectivity,5 Connectivity,Normalized X,Normalized Y,Normalized Z,Threshold Z
281,0.279,0.119,0.2897707,0.829,0.236,0.838,0,281,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.828932689,0.235905045,0.837654027,1
282,0.0907,0.265,0.2754852,0.129,0.777,0.787,0,282,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.128672369,0.777448071,0.786605441,1
288,0.226,0.199,0.2590152,0.632,0.533,0.728,5,288,Not eroded,0,1,1,1,1,1,0,0,0,0,1,0.631833395,0.53264095,0.727750644,1
289,0.125,0.146,0.2835149,0.256,0.336,0.815,3,289,Not eroded,0,1,1,1,1,1,1,0,0,1,1,0.256229081,0.336053412,0.81529921,1
292,0.156,0.212,0.2729162,0.372,0.581,0.777,0,292,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.371513574,0.580860534,0.777425237,1
294,0.116,0.219,0.3247422,0.223,0.607,0.963,0,294,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.22275939,0.606824926,0.962623094,1
297,0.0901,0.29,0.2589399,0.126,0.87,0.727,0,297,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.126441056,0.870178042,0.727481563,1
299,0.0647,0.21,0.3208476,0.032,0.573,0.949,0,299,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.031982149,0.573442136,0.948705918,1
304,0.112,0.276,0.2591875,0.208,0.818,0.728,0,304,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.207883972,0.818249258,0.728366351,1
307,0.199,0.0691,0.287583,0.531,0.0508,0.83,3,307,Not eroded,0,1,1,1,1,1,1,0,0,1,1,0.531424321,0.050816024,0.82983638,1
314,0.267,0.301,0.2476576,0.784,0.911,0.687,4,314,Not eroded,0,1,1,1,1,0,0,0,0,1,1,0.784306434,0.910979228,0.687164776,1
324,0.0565,0.118,0.2792132,0.00149,0.232,0.8,3,324,Not eroded,0,1,1,1,1,1,1,0,0,1,1,0.001487542,0.232195846,0.79992728,1
329,0.203,0.0916,0.2489263,0.546,0.134,0.692,3,329,Not eroded,0,1,1,1,1,0,1,0,0,1,1,0.54629974,0.134272997,0.691698418,1
333,0.262,0.0645,0.2560103,0.766,0.0338,0.717,0,333,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0.765712161,0.033753709,0.717012771,1
338,0.251,0.0559,0.2651377,0.725,0.00185,0.75,2,338,Not eroded,0,1,1,1,1,1,1,0,1,1,1,0.72480476,0.001854599,0.74962912,1
347,0.188,0.324,0.2398509,0.491,0.996,0.659,0,347,ERODED,1,1,1,1,0,0,1,1,1,1,1,0.490516921,0.996290801,0.659267888,1
348,0.324,0.181,0.2925694,0.996,0.466,0.848,0,348,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0.996281145,0.465875371,0.847655054,1
349,0.226,0.163,0.2352175,0.632,0.399,0.643,0,349,Not eroded,0,1,1,1,0,0,1,1,1,1,1,0.631833395,0.399109792,0.642710644,1
357,0.295,0.115,0.2359694,0.888,0.221,0.645,0,357,Not eroded,0,1,1,1,0,0,1,1,1,1,1,0.888434362,0.221068249,0.645397524,1
360,0.198,0.171,0.2885415,0.528,0.429,0.833,5,360,Not eroded,0,1,1,1,1,1,0,0,0,0,1,0.527705467,0.428783383,0.833261537,1
361,0.163,0.308,0.2468447,0.398,0.937,0.684,0,361,ERODED,1,1,1,1,1,0,1,1,1,1,1,0.397545556,0.93694362,0.684259915,1
362,0.282,0.194,0.2708963,0.84,0.514,0.77,4,362,Not eroded,0,1,1,1,1,1,0,0,0,1,1,0.840089253,0.514094955,0.770207216,1
366,0.288,0.0888,0.2360663,0.862,0.124,0.646,0,366,Not eroded,0,1,1,1,0,0,1,1,1,1,1,0.86240238,0.12388724,0.645743792,1
367,0.256,0.0917,0.3247861,0.743,0.135,0.963,0,367,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.743399033,0.134643917,0.962779969,1
368,0.233,0.216,0.3065402,0.658,0.596,0.898,0,368,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.657865377,0.595697329,0.897579074,1
370,0.09,0.22,0.2545188,0.126,0.611,0.712,4,370,Not eroded,0,1,1,1,1,1,0,0,0,1,1,0.126069171,0.610534125,0.711682963,1
373,0.257,0.186,0.3196926,0.747,0.484,0.945,0,373,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.747117888,0.484421365,0.944578578,1
375,0.194,0.24,0.3196384,0.513,0.685,0.944,0,375,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.512830048,0.684718101,0.944384897,1
381,0.185,0.17,0.2347691,0.479,0.425,0.641,0,381,Not eroded,0,1,1,1,0,0,1,1,1,1,1,0.479360357,0.425074184,0.641108307,1
385,0.224,0.217,0.3164975,0.624,0.599,0.933,0,385,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.624395686,0.599406528,0.933161033,1
389,0.187,0.0785,0.3247787,0.487,0.0857,0.963,0,389,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.486798066,0.085682493,0.962753525,1
392,0.302,0.264,0.268439,0.914,0.774,0.761,5,392,Not eroded,0,1,1,1,1,1,0,0,0,0,1,0.914466344,0.773738872,0.761426166,1
397,0.145,0.285,0.2993505,0.331,0.852,0.872,0,397,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.330606173,0.851632047,0.871887007,1
399,0.215,0.228,0.328734,0.591,0.64,0.977,0,399,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.590925995,0.640207715,0.97688761,1
