Before erosion ID,Initial X,Initial Y,Initial Z,Norm Initial X,Norm Initial Y,Norm Initial Z,Initial connectivity,Before erosion ID.1,Erosion state,Encoded erosion state,Z location Half,Norm Z location 0.5714,Norm Z location 0.60714,Norm Z location 0.6429,Norm Z location 0.6786,Norm Z location 0.7143,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 connectivity,2 connectivity,4 connectivity,5 connectivity,Normalized X,Normalized Y,Normalized Z,Threshold Z
293,0.205,0.149,0.32,0.557,0.346,0.943,0,293,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5569620253164557,0.3459680416202155,0.9429183018194791,1
294,0.0562,0.131,0.264,0.00298,0.279,0.743,3,294,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0.0029784065524944233,0.2790784095131921,0.7431323581876561,1
297,0.277,0.122,0.308,0.825,0.246,0.9,0,297,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8250186150409532,0.2456335934596804,0.9001070281840884,1
300,0.159,0.168,0.29,0.386,0.417,0.836,3,300,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0.3857036485480268,0.4165737643998514,0.8358901177310024,1
303,0.244,0.266,0.233,0.702,0.781,0.633,0,303,Not eroded,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0.7021593447505584,0.7807506503158678,0.6325365679628969,1
305,0.324,0.203,0.223,1.0,0.547,0.597,3,305,Not eroded,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1.0,0.5466369379412858,0.5968605066000714,1
308,0.17,0.151,0.257,0.427,0.353,0.718,4,308,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0.42665673864482506,0.3534002229654403,0.7181591152336783,1
310,0.0561,0.177,0.247,0.00261,0.45,0.682,5,310,Not eroded,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0.0026061057334326107,0.450018580453363,0.6824830538708526,1
313,0.167,0.119,0.24,0.415,0.234,0.658,4,313,Not eroded,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0.41548771407297097,0.23448532144184314,0.6575098109168748,1
319,0.245,0.128,0.326,0.706,0.268,0.964,0,319,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7058823529411764,0.2679301374953549,0.9643239386371745,1
322,0.0562,0.156,0.288,0.00298,0.372,0.829,4,322,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0.0029784065524944233,0.3719806763285024,0.8287549054584373,1
323,0.292,0.22,0.303,0.881,0.61,0.882,0,323,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8808637379002233,0.6098104793756968,0.8822689975026757,1
325,0.0992,0.22,0.282,0.163,0.61,0.807,5,325,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0.16306775874906923,0.6098104793756968,0.807349268640742,1
330,0.0658,0.324,0.25,0.0387,0.996,0.693,0,330,Not eroded,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0.0387192851824274,0.9962839093273876,0.6931858722797003,1
332,0.0562,0.151,0.325,0.00298,0.353,0.961,0,332,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0029784065524944233,0.3534002229654403,0.9607563325008919,1
342,0.314,0.129,0.244,0.963,0.272,0.672,4,342,Not eroded,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0.9627699180938197,0.2716462281679673,0.6717802354620049,1
345,0.174,0.271,0.28,0.442,0.799,0.8,4,345,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0.44154877140729704,0.7993311036789298,0.8002140563681771,1
347,0.217,0.255,0.316,0.602,0.74,0.929,0,347,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6016381236038719,0.7398736529171311,0.9286478772743488,1
349,0.292,0.322,0.317,0.881,0.989,0.932,0,349,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8808637379002233,0.9888517279821628,0.9322154834106314,1
350,0.238,0.297,0.292,0.68,0.896,0.843,4,350,ERODED,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0.6798212956068502,0.8959494611668524,0.8430253300035676,1
351,0.0594,0.284,0.24,0.0149,0.848,0.658,0,351,Not eroded,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0.01489203276247209,0.847640282422891,0.6575098109168748,1
356,0.0734,0.152,0.288,0.067,0.357,0.829,4,356,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0.06701414743112438,0.35711631363805274,0.8287549054584373,1
357,0.324,0.119,0.218,1.0,0.234,0.579,3,357,Not eroded,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1.0,0.23448532144184314,0.5790224759186586,1
