Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID.1,Erosion state,Encoded erosion state,Unnamed: 8,Z location Half,Unnamed: 10,Z location 0.22,Unnamed: 12,Z location 0.23,Unnamed: 14,Z location 0.24,Unnamed: 16,Z location 0.25,Force X,Force Y,Force Z,Sum of contact force (vector),Sum force by connectivity,3 connectivity,Unnamed: 24,4Connectivity,5Connectivity,2Connectivity,1Connectivity,0Connectivity,Normalized X,Normalized Y,Normalized Z,Threshold Z
187,0.0565,0.279,0.271,0,187,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.003710575139146571,0.8293768545994066,0.7678571428571429,1
191,0.152,0.316,0.274,4,191,Not eroded,0,0,1,0,1,0,1,0,1,0,1,9.74e-08,-1.34e-08,5.91e-08,1.15e-07,2.87e-08,0,0.000206,1,1,0,0,0,0.35807050092764375,0.9666172106824925,0.7785714285714286,1
194,0.236,0.27,0.278,3,194,Not eroded,0,0,1,0,1,0,1,0,1,0,1,-1.01e-06,4.79e-07,2.24e-07,1.14e-06,3.79e-07,1,0.00204,1,1,0,0,0,0.6697588126159554,0.7959940652818991,0.7928571428571429,1
198,0.268,0.0561,0.231,0,198,Not eroded,0,0,1,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.7884972170686456,0.002596439169139463,0.625,1
201,0.0725,0.268,0.319,0,201,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.06307977736549163,0.7885756676557863,0.9392857142857143,1
202,0.153,0.0873,0.231,5,202,Not eroded,0,0,1,0,1,0,1,0,0,0,0,2.59e-07,4.72e-07,2.24e-07,5.83e-07,1.17e-07,0,0.00104,0,1,0,0,0,0.36178107606679033,0.11832344213649854,0.625,1
208,0.21,0.0648,0.29,5,208,Not eroded,0,0,1,0,1,0,1,0,1,0,1,2.3e-07,-1.15e-07,2.28e-07,3.44e-07,6.88e-08,0,0.000615,0,1,0,0,0,0.5732838589981447,0.03486646884272997,0.8357142857142856,1
214,0.298,0.254,0.255,4,214,Not eroded,0,0,1,0,1,0,1,0,1,0,1,-5.7e-06,3.92e-06,2.03e-06,7.21e-06,1.8e-06,0,0.0129,1,1,0,0,0,0.8998144712430426,0.736646884272997,0.7107142857142856,1
216,0.24,0.139,0.286,4,216,Not eroded,0,0,1,0,1,0,1,0,1,0,1,-1.59e-06,3e-07,-2.46e-07,1.64e-06,4.09e-07,0,0.00293,1,1,0,0,0,0.6846011131725417,0.3100890207715134,0.8214285714285713,1
217,0.291,0.316,0.295,3,217,Not eroded,0,0,1,0,1,0,1,0,1,0,1,2.56e-07,7.01e-07,-3.89e-07,8.41e-07,2.8e-07,1,0.0015,1,1,0,0,0,0.8738404452690166,0.9666172106824925,0.8535714285714284,1
