Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Erosion state,Encoded erosion state,3 connectivity,1 connectivity,2 connectivity,4 connectivity,5 connectivity,Porosity_here,Porosity_front,Porosity_diff,Norm Initial X,Norm Initial Y,Norm Initial Z,Threshold Z,Norm2 Initial Z,Norm Connectivity
278,0.292,0.189,0.258727,0,Not eroded,0,1,1,1,1,1,0.2929176,0.3647194,-0.0718018,0.8782736997417926,0.4940915805022156,0.7251242407666811,1,0.1448347720084657,0.0
281,0.284,0.113,0.2800992,0,Not eroded,0,1,1,1,1,1,0.40286,0.99,-0.58714,0.8487642936185908,0.21344165435745938,0.8011550079658665,1,0.38137388534320527,0.0
282,0.0928,0.259,0.3023719,2,Not eroded,0,1,0,1,1,1,0.3314033,0.99,-0.6585967,0.14348948727406857,0.7525849335302806,0.880389268762476,1,0.6278793789082414,0.2857142857142857
283,0.325,0.109,0.2894928,5,Not eroded,0,0,0,0,0,1,0.40286,0.99,-0.58714,1.0,0.19867060561299849,0.8345723732704335,1,0.4853385597810831,0.7142857142857143
288,0.24,0.184,0.2668013,0,Not eroded,0,1,1,1,1,1,0.2678852,0.3770868,-0.1092016,0.6864625599409812,0.4756277695716395,0.753848247822407,1,0.23419795234547802,0.0
289,0.135,0.157,0.2868738,0,Not eroded,0,1,1,1,1,1,0.3415885,0.99,-0.6484115,0.29915160457395795,0.37592319054652873,0.8252553830076311,1,0.4563524966793116,0.0
297,0.0548,0.304,0.2705364,0,Not eroded,0,1,1,1,1,1,0.3439077,0.4120043,-0.0680966,0.003319808188860192,0.9187592319054652,0.7671357202663144,1,0.2755365717771035,0.0
299,0.0699,0.195,0.2762752,4,Not eroded,0,0,0,0,1,1,0.3861232,0.99,-0.6038768,0.05901881224640354,0.5162481536189069,0.7875512772423244,1,0.33905135563676203,0.5714285714285714
304,0.126,0.285,0.286851,4,Not eroded,0,0,0,0,1,1,0.3559732,0.99,-0.6340268,0.26595352268535594,0.848596750369276,0.8251742728976686,1,0.4561001552365014,0.5714285714285714
307,0.209,0.0594,0.3045853,0,ERODED,1,1,1,1,1,1,0.3492331,0.99,-0.6407669,0.5721136112135743,0.015509601181683905,0.8882633528585764,1,0.6523764205537018,0.0
311,0.184,0.121,0.2487009,0,Not eroded,0,1,1,1,1,1,0.2729057,0.3623308,-0.0894251,0.47989671707856874,0.24298375184638105,0.6894567814028463,1,0.03386983605402815,0.0
324,0.0549,0.121,0.2858942,0,Not eroded,0,1,1,1,1,1,0.3893806,0.99,-0.6006194,0.0036886757654001987,0.24298375184638105,0.8217704942480124,1,0.4455106687241776,0.0
329,0.208,0.0821,0.2637248,4,Not eroded,0,0,0,0,1,1,0.3210669,0.3492331,-0.0281662,0.5684249354481741,0.09933530280649927,0.7429037191689086,1,0.20014845897678693,0.5714285714285714
333,0.263,0.0555,0.2871318,0,ERODED,1,1,1,1,1,1,0.3873386,0.99,-0.6026614,0.7713021025451863,0.0011078286558345702,0.8261732079361546,1,0.45920793932163945,0.0
338,0.242,0.0561,0.2645912,0,ERODED,1,1,1,1,1,1,0.3015876,0.3873386,-0.085751,0.6938399114717816,0.003323485967503685,0.7459859033474854,1,0.20973743380358204,0.0
340,0.212,0.298,0.3251118,0,ERODED,1,1,1,1,1,1,0.3858649,0.99,-0.6041351,0.583179638509775,0.8966026587887739,0.9612855753211248,1,0.8795556585294615,0.0
347,0.189,0.312,0.2496931,5,Not eroded,0,0,0,0,0,1,0.311638,0.3858649,-0.0742269,0.4983400959055699,0.9483013293943869,0.6929864941706021,1,0.044851115859136016,0.7142857142857143
348,0.325,0.181,0.2995234,3,Not eroded,0,1,0,0,1,1,0.3647194,0.99,-0.6252806,1.0,0.46454948301329385,0.8702558412086031,1,0.5963532999676543,0.42857142857142855
351,0.245,0.063,0.3175386,0,ERODED,1,1,1,1,1,1,0.3873386,0.99,-0.6026614,0.7049059387679822,0.028803545051698673,0.9343442119540933,1,0.7957384561307076,0.0
357,0.32,0.104,0.2673134,4,Not eroded,0,0,0,0,1,1,0.3355048,0.4096316,-0.0741268,0.9815566211729989,0.1802067946824224,0.7556700235816971,1,0.23986567396228448,0.5714285714285714
360,0.215,0.165,0.3051879,0,ERODED,1,1,1,1,1,1,0.3875078,0.99,-0.6024922,0.5942456658059756,0.4054652880354505,0.8904070788350424,1,0.6590457606167515,0.0
362,0.253,0.175,0.2527947,3,Not eroded,0,1,0,0,1,1,0.2678852,0.3770868,-0.1092016,0.7344153448911841,0.44239290989660257,0.7040203150942783,1,0.07917840616706066,0.42857142857142855
365,0.0547,0.0981,0.302752,3,Not eroded,0,1,0,0,1,1,0.3901556,0.99,-0.5998444,0.002950940612320159,0.1584194977843427,0.8817414596746147,1,0.6320861763824618,0.42857142857142855
366,0.293,0.0898,0.2789606,0,Not eroded,0,1,1,1,1,1,0.4096316,0.99,-0.5803684,0.8819623755071928,0.1277695716395864,0.797104482913088,1,0.3687723078526833,0.0
367,0.241,0.0912,0.3057799,0,ERODED,1,1,1,1,1,1,0.3873386,0.99,-0.6026614,0.6901512357063814,0.1329394387001477,0.8925130957252979,1,0.6655977840441089,0.0
370,0.107,0.232,0.2563347,0,Not eroded,0,1,1,1,1,1,0.258045,0.2528316,0.0052134,0.19586868314275171,0.6528803545051698,0.716613726904252,1,0.1183577354455152,0.0
373,0.245,0.172,0.3168463,0,ERODED,1,1,1,1,1,1,0.3770868,0.99,-0.6129132,0.7049059387679822,0.43131462333825693,0.931881381729222,1,0.7880763517071274,0.0
375,0.193,0.223,0.3239986,0,ERODED,1,1,1,1,1,1,0.3294985,0.99,-0.6605015,0.5130947989671708,0.6196454948301329,0.9573254097768135,1,0.8672351982603163,0.0
385,0.212,0.225,0.3249834,0,ERODED,1,1,1,1,1,1,0.3294985,0.99,-0.6605015,0.583179638509775,0.6270310192023633,0.960828797333441,1,0.8781345777725817,0.0
388,0.325,0.247,0.3202818,0,ERODED,1,1,1,1,1,1,0.3829345,0.99,-0.6070655,1.0,0.708271787296898,0.9441030388685339,1,0.8260991160393674,0.0
389,0.174,0.0799,0.3258279,0,ERODED,1,1,1,1,1,1,0.3492331,0.99,-0.6407669,0.4430099594245665,0.09121122599704577,0.963833073116922,1,0.8874811720029929,0.0
391,0.144,0.0995,0.3263641,0,ERODED,1,1,1,1,1,1,0.3642182,0.99,-0.6257818,0.33234968646255986,0.163589364844904,0.9657405836854269,1,0.8934156229518928,0.0
392,0.292,0.255,0.2602234,0,Not eroded,0,1,1,1,1,1,0.3100746,0.3829345,-0.0728599,0.8782736997417926,0.7378138847858197,0.7304476253521174,1,0.16139633933396813,0.0
397,0.15,0.301,0.2969194,4,ERODED,1,0,0,0,1,1,0.3559732,0.99,-0.6340268,0.3544817410549612,0.9076809453471195,0.8609922128602497,1,0.5675332509729949,0.5714285714285714
407,0.2,0.293,0.2622855,2,Not eroded,0,1,0,1,1,1,0.311638,0.3858649,-0.0742269,0.5389155293249723,0.8781388478581977,0.7377834656044752,1,0.18421885201902485,0.2857142857142857
411,0.0551,0.279,0.2521218,0,Not eroded,0,1,1,1,1,1,0.3439077,0.4120043,-0.0680966,0.0044264109184802645,0.8264401772525849,0.7016264996120944,1,0.07173101332201239,0.0
417,0.0774,0.22,0.3255926,0,ERODED,1,1,1,1,1,1,0.3314033,0.99,-0.6585967,0.08668388048690517,0.6085672082717872,0.9629960025522647,1,0.8848769640427611,0.0
418,0.0875,0.0979,0.258307,3,Not eroded,0,1,0,0,1,1,0.3476877,0.3901556,-0.0424679,0.1239395057174474,0.15768094534711963,0.7236301071621081,1,0.14018637700932726,0.42857142857142855
420,0.198,0.0758,0.3250503,0,ERODED,1,1,1,1,1,1,0.3492331,0.99,-0.6407669,0.5315381777941719,0.07607090103397343,0.9610667914718838,1,0.878875000690302,0.0
424,0.139,0.325,0.3082292,0,ERODED,1,1,1,1,1,1,0.3559732,0.99,-0.6340268,0.3139063076355589,0.9963072378138847,0.9012263848626335,1,0.6927056742140856,0.0
431,0.323,0.212,0.3175222,0,ERODED,1,1,1,1,1,1,0.3647194,0.99,-0.6252806,0.9926226484691996,0.5790251107828654,0.9342858695942956,1,0.795556947373598,0.0
433,0.284,0.169,0.2472313,2,Not eroded,0,1,0,1,1,1,0.2929176,0.3647194,-0.0718018,0.8487642936185908,0.42023633677991135,0.6842287367712255,1,0.017604880599898967,0.2857142857142857
434,0.23,0.224,0.249556,0,Not eroded,0,1,1,1,1,1,0.2725093,0.305176,-0.0326667,0.649575802286979,0.6233382570162481,0.6924987662725378,1,0.04333374692013131,0.0
436,0.178,0.277,0.2706983,0,Not eroded,0,1,1,1,1,1,0.311638,0.3858649,-0.0742269,0.45776466248616743,0.8190546528803545,0.7677116731962677,1,0.2773284173731999,0.0
449,0.0569,0.157,0.3088389,0,ERODED,1,1,1,1,1,1,0.3893806,0.99,-0.6006194,0.011066027296200648,0.37592319054652873,0.9033953688119389,1,0.6994535942878354,0.0
452,0.285,0.105,0.2742812,0,Not eroded,0,1,1,1,1,1,0.4096316,0.99,-0.5803684,0.8524529693839911,0.18389955686853762,0.7804577000815653,1,0.3169825469979944,0.0
455,0.174,0.0884,0.3185012,0,ERODED,1,1,1,1,1,1,0.3492331,0.99,-0.6407669,0.4430099594245665,0.12259970457902512,0.9377686238773363,1,0.8063921347644473,0.0
456,0.131,0.162,0.2786242,0,Not eroded,0,1,1,1,1,1,0.3415885,0.99,-0.6484115,0.2843969015123571,0.3943870014771048,0.7959077530450441,1,0.3650491648105159,0.0
459,0.216,0.126,0.2522373,0,Not eroded,0,1,1,1,1,1,0.2729057,0.3623308,-0.0894251,0.5979343415713758,0.26144756277695713,0.702037386353352,1,0.07300932194677533,0.0
465,0.194,0.319,0.2545309,6,Not eroded,0,0,0,0,0,0,0.311638,0.3858649,-0.0742269,0.516783474732571,0.9741506646971935,0.7101967788187066,1,0.0983939856849285,0.8571428571428571
467,0.215,0.104,0.2978551,0,ERODED,1,1,1,1,1,1,0.3492331,0.99,-0.6407669,0.5942456658059756,0.1802067946824224,0.8643209290835808,1,0.5778892109746471,0.0
469,0.267,0.0555,0.3041279,0,ERODED,1,1,1,1,1,1,0.3873386,0.99,-0.6026614,0.7860568056067871,0.0011078286558345702,0.8866361702139769,1,0.6473140970474968,0.0
474,0.258,0.133,0.2966619,0,Not eroded,0,1,1,1,1,1,0.2960408,0.99,-0.6939592,0.7528587237181852,0.28729689807976366,0.8600761666622079,1,0.5646833421342372,0.0
481,0.132,0.32,0.3321166,0,ERODED,1,1,1,1,1,1,0.3559732,0.99,-0.6340268,0.2880855772777573,0.9778434268833087,0.9862048778766339,1,0.9570820330293809,0.0
