Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID.1,Erosion state,Encoded erosion state,Unnamed: 8,Z location Half,Unnamed: 10,Z location 0.22,Unnamed: 12,Z location 0.23,Unnamed: 14,Z location 0.24,Unnamed: 16,Z location 0.25,Force X,Force Y,Force Z,Sum of contact force (vector),Sum force by connectivity,3 connectivity,Unnamed: 24,4Connectivity,5Connectivity,2Connectivity,1 connectivity,0Connectivity,Normalized X,Normalized Y,Normalized Z,Threshold Z
238,0.161,0.0561,0.29,3,238,Not eroded,0,0,1,0,1,0,1,0,1,0,1,8.99E-08,-6.74E-07,-3.13E-08,6.80E-07,2.27E-07,1,0.00122,1,1,0,0,0,0.391465677,0.002596439,0.835714286,1
239,0.148,0.161,0.234,3,239,Not eroded,0,0,1,0,1,0,1,0,0,0,0,1.16E-06,1.02E-07,8.42E-07,1.44E-06,4.80E-07,1,0.00258,1,1,0,0,0,0.3432282,0.391691395,0.635714286,1
243,0.08,0.176,0.282,0,243,ERODED,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0.090909091,0.447329377,0.807142857,1
247,0.0836,0.124,0.261,4,247,Not eroded,0,0,1,0,1,0,1,0,1,0,1,5.08E-07,2.92E-07,3.56E-07,6.86E-07,1.72E-07,0,0.00123,1,1,0,0,0,0.104267161,0.254451039,0.732142857,1
250,0.29,0.183,0.296,0,250,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0.87012987,0.473293769,0.857142857,1
251,0.226,0.0949,0.284,0,251,ERODED,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0.632653061,0.146513353,0.814285714,1
253,0.276,0.136,0.285,0,253,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0.818181818,0.298961424,0.817857143,1
263,0.25,0.299,0.282,0,263,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0.721706865,0.903560831,0.807142857,1
264,0.196,0.1,0.24,2,264,Not eroded,0,0,1,0,1,0,1,0,0,0,0,2.49E-07,3.10E-06,1.30E-06,3.37E-06,1.68E-06,1,0.00603,1,1,1,0,0,0.521335807,0.165430267,0.657142857,1
265,0.297,0.111,0.23,0,265,Not eroded,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0.896103896,0.206231454,0.621428571,1
266,0.0561,0.154,0.283,3,266,Not eroded,0,0,1,0,1,0,1,0,1,0,1,2.93E-07,1.06E-07,1.08E-07,3.30E-07,1.10E-07,1,0.00059,1,1,0,0,0,0.002226345,0.365727003,0.810714286,1
267,0.0963,0.102,0.313,0,267,ERODED,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0.151391466,0.172848665,0.917857143,1
273,0.196,0.294,0.271,4,273,Not eroded,0,0,1,0,1,0,1,0,1,0,1,3.92E-07,1.62E-06,-9.77E-08,1.67E-06,4.19E-07,0,0.00299,1,1,0,0,0,0.521335807,0.885014837,0.767857143,1
286,0.0607,0.322,0.271,0,286,ERODED,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0.019294991,0.988872404,0.767857143,1
291,0.257,0.305,0.241,5,291,Not eroded,0,0,1,0,1,0,1,0,1,0,0,2.29E-07,-2.59E-07,1.44E-06,1.48E-06,2.97E-07,0,0.00265,0,1,0,0,0,0.747680891,0.925816024,0.660714286,1
292,0.282,0.284,0.278,0,292,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0.840445269,0.847922849,0.792857143,1
295,0.131,0.228,0.243,4,295,Not eroded,0,0,1,0,1,0,1,0,1,0,0,3.14E-07,5.87E-07,-4.73E-08,6.68E-07,1.67E-07,0,0.00119,1,1,0,0,0,0.280148423,0.640207715,0.667857143,1
298,0.144,0.237,0.325,0,298,ERODED,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0.3283859,0.673590504,0.960714286,1
299,0.219,0.181,0.252,5,299,Not eroded,0,0,1,0,1,0,1,0,1,0,1,-1.05E-06,3.50E-07,-1.05E-06,1.52E-06,3.05E-07,0,0.00272,0,1,0,0,0,0.606679035,0.465875371,0.7,1
301,0.21,0.133,0.244,4,301,Not eroded,0,0,1,0,1,0,1,0,1,0,0,2.63E-06,-7.73E-07,-5.54E-07,2.80E-06,6.99E-07,0,0.00501,1,1,0,0,0,0.573283859,0.287833828,0.671428571,1
305,0.281,0.168,0.236,0,305,Not eroded,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0.836734694,0.417655786,0.642857143,1
306,0.148,0.258,0.287,6,306,Not eroded,0,0,1,0,1,0,1,0,1,0,1,3.72E-07,7.65E-07,6.51E-07,1.07E-06,1.79E-07,0,0.00191,0,0,0,0,0,0.3432282,0.75148368,0.825,1
309,0.324,0.153,0.309,0,309,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0.996289425,0.362017804,0.903571429,1
314,0.324,0.197,0.24,3,314,Not eroded,0,0,1,0,1,0,1,0,0,0,0,2.31E-06,3.45E-07,4.61E-06,5.17E-06,1.72E-06,1,0.00925,1,1,0,0,0,0.996289425,0.525222552,0.657142857,1
315,0.0941,0.184,0.29,0,315,ERODED,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0.1432282,0.477002967,0.835714286,1
